no,group,model,question,judgment,reason
1,풀 안,RS63R557EB4,RS63R557EB4 냉장고에 성에가 계속 생겨요,라벨 부적절(리랭커 선택에 정답 있음),"라벨=안심하세요 FAQ(소음·설치·냄새), '성에' 없음 / 픽1·2에 '냉동실에 성에가 생겨요!' 직접 답"
2,풀 안,SC3GBE50,SC3GBE50 스타일러 트리트먼트 기능 알려줘,판단곤란(정답 없을 수 있음),라벨·픽 어디에도 '트리트먼트' 없음 → 해당 기능이 매뉴얼에 없을 가능성
3,풀 안,DV90TA040TE,DV90TA040TE 건조기 먼지 필터 청소 방법 알려줘,라벨 부적절(리랭커 선택에 정답 있음),라벨=안전수칙 '청소 관련' 한 줄 / 픽1=[필터 청소하기] 전체 절차
4,풀 안,FQ18GU1BHN,FQ18GU1BHN 에어컨 필터 청소 방법 알려줘,라벨 부적절(리랭커 선택에 정답 있음),라벨=안전수칙 '준수 사항' / 픽1=[청소하기] 필터 분리·청소 절차
5,풀 안,FQ18GU1BHN,FQ18GU1BHN 에어컨 리모컨 사용법 알려줘,라벨 협소(양쪽 모두 유효),라벨=리모컨 건전지 끼우기 / 픽2=리모컨 사용 시 수신부·범위 안내. 질문이 넓어 둘 다 부분 답
6,풀 안,DJ30T9500FE,DJ30T9500FE 슈드레서 설치할 때 주의사항 알려줘,라벨 협소(양쪽 모두 유효),라벨=안전수칙 설치 관련(전원·환경) / 픽1=[설치 및 장소 정하기] 간격. 둘 다 설치 주의사항
7,풀 안,DV90TA040TE,DV90TA040TE 건조기 건조 코스 선택하는 방법 알려줘,라벨 협소(양쪽 모두 유효),라벨=부품 이름 챕터의 코스 표 / 픽=각 코스 챕터의 '코스선택 다이얼로 선택' 절차
8,풀 안,RP20C3111S9,RP20C3111S9 김치냉장고에서 냄새가 나요,라벨 부적절(리랭커 선택에 정답 있음),"라벨=김치 FAQ, '냄새' 없음 / 픽=청소 및 분해하기의 냄새 제거, 잦은 질문"
9,풀 안,RP20C3111S9,RP20C3111S9 김치냉장고 김치 발효 코스 자세히 알려줘,라벨 부적절(리랭커 선택에 정답 있음),라벨=사용 전 알아두기 일반 / 픽1=[김치 맛있게 숙성하기] 숙성 기능
10,풀 안,WF17M9100KG,WF17M9100KG 세탁기 탈수할 때 소음이 심해요,라벨 부적절(리랭커 선택에 정답 있음),라벨=설치 전 주의사항 / 픽1=탈수 시 소음이 커요 FAQ 직접 답. (이번 재실행에서는 라벨이 픽5에 포함=변동)
11,풀 안,DV90TA040TE,DV90TA040TE 건조기 사용하면 옷에 구김이 덜 가나,라벨 부적절(리랭커 선택에 정답 있음),라벨=건조 시 주의사항(주름 팁) / 픽2=구김방지 버튼. (이번 재실행에서는 라벨이 픽4에 포함=변동)
12,풀 안,DV90TA040TE,DV90TA040TE 건조기 건조 시간이 너무 오래 걸려요,라벨 부적절(리랭커 선택에 정답 있음),"라벨=건조 전/후 확인사항 / 픽1=고장신고 전 확인 '필터·열교환기 청소, 추운 날씨엔 시간 늘어남'"
13,풀 밖,FQ18GU1BHN,FQ18GU1BHN 에어컨 전력 소비량이 궁금해,라벨 부적절(리랭커 선택에 정답 있음),라벨=목차 페이지(명백한 오라벨) / 픽1=전력량 확인하기 직접 답
14,풀 밖,DV90TA040TE,DV90TA040TE 건조기 정기 관리 방법 알려줘,라벨 부적절(리랭커 선택에 정답 있음),라벨=안전수칙 '청소 관련' / 픽=청소 및 관리하기 챕터들
15,풀 밖,DJ30T9500FE,DJ30T9500FE 슈드레서 건조 기능 알려줘,라벨 협소(양쪽 모두 유효),라벨=매일케어 코스(저온 건조) / 픽5=강력 코스(건조 코스). 둘 다 건조 기능 설명
16,풀 밖,FQ18GU1BHN,FQ18GU1BHN 에어컨 취침 모드 어떻게 설정해,라벨 부적절(리랭커 선택에 정답 있음),"라벨=리모컨 건전지, '취침' 없음 / 픽1·2=AI 수면(취침) 설정 직접 답"
17,풀 밖,SC3GBE50,SC3GBE50 스타일러 에러 코드는 어디서 확인해,라벨 협소(양쪽 모두 유효),라벨=ThinQ 고장 진단 / 픽2·3=[에러 메시지] 챕터. 확인 경로가 둘 다 존재(불확실)
18,풀 밖,M402ND,M402ND 냉장고 설치할 때 주의사항 알려줘,라벨 부적절(리랭커 선택에 정답 있음),라벨=목차 페이지(오라벨) / 픽1·5=[제품을 설치할 때] 직접 답
19,풀 밖,DJ30T9500FE,DJ30T9500FE 슈드레서 스마트폰 앱으로 제어하는 방법 알려줘,라벨 협소(양쪽 모두 유효),라벨=SmartThings 앱 사용하기 / 픽1도 같은 챕터의 제어 방법. 라벨이 유일한 정답 아님
20,풀 밖,SC3GBE50,SC3GBE50 스타일러에서 소음이 나는데 왜 그래요,라벨 부적절(리랭커 선택에 정답 있음),라벨=폐기 시 안전수칙(이상한 소리 시 전원 뽑기) / 픽1=고장신고 전 확인 '작동 중 소리가 나요' FAQ
21,풀 밖,DV90TA040TE,DV90TA040TE 건조기에 세탁물을 얼마나 넣어도 돼,라벨 부적절(리랭커 선택에 정답 있음),"라벨=건조 전/후 확인사항, '용량' 없음 / 픽1=제품규격 건조용량 9.0kg, 픽2=코스별 용량"
22,풀 밖,SC3GBE50,SC3GBE50 스타일러 문이 안 열려요,판단곤란(정답 없을 수 있음),"라벨=ThinQ 진단, 픽=문 열림/에러 메시지 등. '문이 안 열려요' 직접 답이 어디에도 없어 보임"
23,풀 밖,M402ND,M402ND 냉장고 문이 잘 안 닫혀요,라벨 부적절(리랭커 선택에 정답 있음),라벨=목차 페이지(오라벨) / 픽1='문을 세게 닫았나요?' 등 직접 답
24,풀 밖,FQ18GU1BHN,FQ18GU1BHN 에어컨에서 이상한 소리가 나요,라벨 부적절(리랭커 선택에 정답 있음),"라벨=UVnano 안전수칙, '소리' 없음 / 픽=[소음] 챕터 '실내기에서 이상한 소리가 나요'"
