no,model,question,judgment,reason
1,RS63R557EB4,RS63R557EB4 냉장고에서 소음이 나는데 왜 그래요,적절,냉장고 소음 FAQ 항목
2,FC2521KX6C,FC2521KX6C 세탁건조기 문이 안 열려요,부적절,"문 강제 개방 금지 등 안전 안내뿐, 열리지 않는 원인·조치 없음"
3,M402ND,M402ND 냉장고 청소하는 방법 알려줘,적절,[청소하기] 전용 챕터
4,AR-EH05,AR-EH05 에어컨에서 냄새가 나는데 계속 써도 될까,적절,냄새·연기 시 사용 중지·서비스 문의 명시
5,AR-EH05,AR-EH05 에어컨 예약 기능 사용법 알려줘,적절,[예약 기능 사용하기] 전용 챕터
6,RS63R557EB4,RS63R557EB4 냉장고 야채실 사용법 알려줘,적절,야채실 서랍 분리·조립 절차
7,SC3GBE50,SC3GBE50 스타일러 설치할 때 주의사항 알려줘,적절,설치 시 경고·준수 사항
8,RS63R557EB4,RS63R557EB4 냉장고 청소하는 방법 알려줘,약함,"안전수칙 ""청소 관련""이며 전용 [청소하기] 챕터가 따로 있음"
9,DJ30T9500FE,DJ30T9500FE 슈드레서 신발 트레이는 어떻게 써,적절,[슈트리 사용하기] 절차
10,DV90TA040TE,DV90TA040TE 건조기 설치할 때 환기구 주의사항 알려줘,적절,설치 전 주의사항에 통풍구·환기 개구부 언급
11,SC3GBE50,SC3GBE50 스타일러 청소하는 방법 알려줘,적절,[청소하기] 전용 챕터
12,FC2521KX6C,FC2521KX6C 세탁건조기 예약 세탁 어떻게 해,적절,예약 설정 절차
13,RS63R557EB4,RS63R557EB4 냉장고 냉동실 온도는 몇 도가 적당해,적절,냉동실 설정 범위 -23~-17도 명시
14,FC2521KX6C,FC2521KX6C 세탁건조기 스마트폰 앱으로 제어하는 방법 알려줘,적절,ThinQ 앱 설치·등록 절차
15,DJ30T9500FE,DJ30T9500FE 슈드레서 신발 살균 기능이 뭐야,적절,[UV살균 기능] 전용 챕터
16,WF17M9100KG,WF17M9100KG 세탁기 필터 청소 방법 알려줘,적절,배수필터 청소 절차
17,RS63R557EB4,RS63R557EB4 냉장고 온도 설정 방법 알려줘,약함,"표시부 참고사항 위주, 온도 설정 방법 본문은 다음 청크"
18,FQ18GU1BHN,FQ18GU1BHN 에어컨 설치할 때 주의사항 알려줘,적절,설치 시 금지·준수 사항
19,M402ND,M402ND 냉장고 스마트폰 앱으로 확인하는 방법 알려줘,적절,ThinQ 앱 기능 안내
20,AR-EH05,AR-EH05 에어컨 리모컨 사용법 알려줘,약함,"리모컨 버튼·표시 명칭 위주, 사용 방법은 아님"
